path,status,evidence
./sec/capability/ANCHOR.oo,ANCHOR,front-door (RULES §1.19)
./sec/capability/attenuate.oo,GREEN,imported by sec/capability/ANCHOR.oo
./sec/capability/capability_types.oo,RESIDUAL,private sibling (science/ANCHOR.oo §2 — do not import)
./sec/capability/engine.oo,GREEN,imported by app/agent/ANCHOR.oo
./sec/capability/objcap_hmac_seal.oo,GREEN,imported by net/mesh/open_objcap_hmac.oo
./sec/capability/objcap_stubs.oo,RESIDUAL,private sibling (science/ANCHOR.oo §2 — do not import)
./sec/capability/object_capability.oo,GREEN,imported by sec/capability/ANCHOR.oo
./sec/capability/ocap_to_oodar.oo,RESIDUAL,cross-repo bridge shim; consumed by oodar/sec/cap/cap_ocap_bridge.c (oodac emit-c)
./sec/capability/registry.oo,GREEN,imported by meta/diag/ANCHOR.oo
./sec/capability/rights.oo,GREEN,imported by sec/capability/ANCHOR.oo
./sec/capability/seal.oo,GREEN,imported by net/mesh/open_objcap_hmac.oo
